Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:46RNrAkGsqWTDrv2ZPOAbx,"Moon Song","Punisher","Phoebe Bridgers",2020-06-18,277676,71,false,1250741125,2026-05-22T08:59:23Z,"","Dead Oceans",0.339,0.243,1,-12.512,1,0.056,0.869,0.00369,0.107,0.183,154.909,3
spotify:track:6UxAKocZd98MRn0u5obryV,"A House In Nebraska","Preacher’s Daughter","Ethel Cain",2022-05-12,466466,67,false,1250741125,2026-05-22T08:59:23Z,"southern gothic","Daughters of Cain Records",0.245,0.365,2,-7.891,1,0.0343,0.373,0.0000656,0.108,0.218,129.417,4
spotify:track:67swXHVknS142T5tIcNFkl,"C'mon Baby, Cry","Bronco","Orville Peck",2022-04-08,210840,47,false,1250741125,2026-05-22T08:59:23Z,"alt country","Columbia",0.558,0.852,2,-4.388,1,0.041,0.222,0.000707,0.111,0.357,117.962,4
spotify:track:0fB77VOZ2FkQeKLv1DuEwp,"hope is a dangerous thing for a woman like me to have - but I have it","Norman Fucking Rockwell!","Lana Del Rey",2019-08-30,324498,65,true,1250741125,2026-05-22T08:59:23Z,"","Polydor Records",0.49,0.104,4,-13.208,0,0.0635,0.964,0,0.162,0.278,86.675,4
spotify:track:5GUYJTQap5F3RDQiCOJhrS,"Self Control","Blonde","Frank Ocean",2016-08-20,249667,79,false,1250741125,2026-05-22T08:59:23Z,"","Boys Don't Cry",0.581,0.21,8,-10.426,1,0.0321,0.768,0,0.369,0.452,80.099,4
spotify:track:48EjSdYh8wz2gBxxqzrsLe,"Cranes in the Sky","A Seat at the Table","Solange",2016-09-30,250970,67,false,1250741125,2026-05-22T08:59:23Z,"alternative r&b,neo soul","Saint Records/Columbia",0.719,0.615,6,-5.972,1,0.045,0.408,0.000147,0.235,0.465,96.988,4
spotify:track:7B5Npv8NjjTCzk8PLpU66h,"Love In The Dark","25","Adele",2015-11-20,285935,75,false,1250741125,2026-05-22T08:59:23Z,"soft pop","XL Recordings",0.331,0.341,9,-6.057,0,0.0309,0.528,0,0.109,0.152,109.821,4
spotify:track:6Kkt27YmFyIFrcX3QXFi2o,"Liability","Melodrama","Lorde",2017-06-16,171727,70,false,1250741125,2026-05-22T08:59:23Z,"","Universal Music New Zealand Limited",0.587,0.229,10,-11.254,0,0.128,0.92,0,0.1,0.379,75.67,4
spotify:track:5bum4HbCDFoB9wpsc0sQky,"Space Cowboy","Golden Hour","Kacey Musgraves",2018-03-30,216280,60,false,1250741125,2026-05-22T08:59:23Z,"","Lost Highway/IGA",0.447,0.429,1,-7.36,1,0.028,0.718,0.0163,0.105,0.074,116.521,4
spotify:track:3jt1ZVIuluGkV0sWWLSUzw,"Appointments","Turn Out the Lights","Julien Baker",2017-10-27,273466,46,false,1250741125,2026-05-22T08:59:23Z,"ambient folk","Matador",0.419,0.273,0,-8.897,1,0.0304,0.938,0.0000408,0.0918,0.0552,110.597,3
spotify:track:1yYlpGuBiRRf33e1gY61bN,"Night Shift","Historian","Lucy Dacus",2018-03-02,391829,66,true,1250741125,2026-05-22T08:59:23Z,"","Matador",0.48,0.311,9,-7.887,1,0.0258,0.313,0.0000152,0.113,0.162,86.15,4
spotify:track:2vdBo4ALPYbHRUPKgtE5iC,"ghostin","thank u, next","Ariana Grande",2019-02-08,271466,71,false,1250741125,2026-05-22T08:59:23Z,"pop","Republic Records",0.29,0.364,9,-8.295,1,0.0293,0.418,0.0000189,0.185,0.11,103.684,4
spotify:track:7x8pIrhMu9FCmqqHNyuH0P,"cellophane","MAGDALENE","FKA twigs",2019-11-08,204066,59,false,1250741125,2026-05-22T08:59:23Z,"art pop,alternative r&b","Young",0.431,0.284,2,-11.858,1,0.0432,0.871,0.000136,0.0899,0.229,98.317,1
spotify:track:0smgkpVia3VCXgY4qhVJvp,"Guilty Conscience","Modus Vivendi","070 Shake",2020-01-17,213333,60,false,1250741125,2026-05-22T08:59:23Z,"","Getting Out Our Dreams Inc. (G.O.O.D.) Music / IDJ",0.542,0.637,7,-6.049,1,0.135,0.00675,0,0.123,0.221,179.813,4
spotify:track:0pM91oR6zMZcepPBklxO8Q,"Two Slow Dancers","Be the Cowboy","Mitski",2018-08-17,239303,60,false,1250741125,2026-05-22T08:59:23Z,"","Dead Oceans",0.37,0.11,0,-13.176,1,0.0295,0.791,0.000575,0.0997,0.0579,82.899,4
spotify:track:3znwa5cRLwHlQoJQ9Sgwqf,"I Need You","Skeleton Tree","Nick Cave & The Bad Seeds",2016-09-09,358026,39,false,1250741125,2026-05-22T08:59:23Z,"","Bad Seed Ltd",0.305,0.444,9,-11.057,1,0.0347,0.92,0.0149,0.0997,0.102,114.402,4
spotify:track:4WR3v2h77wQaAE44jFjb0X,"On My Way","June McDoom","June McDoom",2022-10-28,212520,38,false,1250741125,2026-05-22T08:59:23Z,"","Temporary Residence Ltd.",0.479,0.434,6,-11.423,0,0.0296,0.0122,0.806,0.0829,0.189,111.987,4
spotify:track:25OANCebIYSBCnOpOydAT9,"In the Willows","Celestun","Tyler Ramsey;Carl Broemel",2026-01-15,192426,26,false,1250741125,2026-05-22T08:59:23Z,"","Tone Tree Music / Duo Quest Records",0.578,0.12,2,-14.387,1,0.0336,0.916,0.891,0.129,0.0776,139.928,4
spotify:track:2uvQiHBOvU0WW0eSEOakbl,"Sad Eyes","In The Air","Anna St. Louis",2023-06-09,215693,9,false,1250741125,2026-05-22T08:59:23Z,"alt country","Woodsist / Mare",0.605,0.221,5,-10.3,1,0.0278,0.863,0.000965,0.105,0.225,107.126,4
spotify:track:1wquRcJ8pEiRv7BpjWdERC,"Free","Fair","Walker Rider;Advance Base",2025-05-01,302492,13,true,1250741125,2026-05-22T08:59:23Z,"alt country,anti-folk","Walker Rider",0.52,0.441,7,-8.893,1,0.0296,0.752,0.637,0.121,0.23,110.71,4
spotify:track:5iDSDrBVBExohwfB4RVLHJ,"No Place to Be","Fondness, Etc.","Shakey Graves",2026-05-15,175746,58,false,1250741125,2026-05-22T08:59:23Z,"indie folk","Dualtone Music Group",0.48,0.397,0,-12.387,1,0.0328,0.667,0.238,0.136,0.413,174.313,3
spotify:track:36qNNCUZzC9mPnYRjTXvnK,"Wilderness Within You (feat. Gillian Welch)","Wilderness Within You","Parker Millsap;Gillian Welch",2023-05-12,240779,18,false,1250741125,2026-05-22T08:59:23Z,"southern gothic,americana,alt country,bluegrass,folk","Okrahoma Records",0.444,0.354,0,-9.768,1,0.0293,0.844,0.0000226,0.0895,0.467,103.732,4
