Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:20bJBbPapGQ4bqs0YcA9xY,"Just What I Am","Indicud","Kid Cudi;King Chip",2013-04-12,228026,68,true,1250741125,2026-05-19T07:38:40Z,"","Kid Cudi/Universal Records",0.654,0.949,1,-3.163,1,0.136,0.00222,0,0.406,0.352,140.008,4
spotify:track:4RVbK6cV0VqWdpCDcx3hiT,"Reborn","KIDS SEE GHOSTS","KIDS SEE GHOSTS",2018-06-08,324674,68,true,1250741125,2026-05-19T07:38:40Z,"","Getting Out Our Dreams, Inc./Def Jam Recordings",0.585,0.597,0,-7.499,1,0.037,0.339,0.0404,0.195,0.227,100.051,4
spotify:track:0FVuyC9RP5MACjp4lgU3qZ,"I'm God","Instrumental Relics","Clams Casino;Imogen Heap",2020-04-24,277710,78,false,1250741125,2026-05-19T07:38:40Z,"cloud rap","Clams Casino Productions LLC",0.529,0.641,2,-6.78,1,0.0336,0.0711,0.76,0.102,0.089,141.931,4
spotify:track:7v3rmoy5jcn4h5UqwQyCM3,"Ginseng Strip 2002","Lavender","Yung Lean",2013-08-16,153999,77,true,1250741125,2026-05-19T07:38:40Z,"cloud rap","YEAR0001",0.601,0.712,1,-9.433,1,0.0436,0.0848,0,0.461,0.389,114.97,4
spotify:track:3XY3jifXmm41Jkf71dvWS8,"Palm Trees","BetterOffDead","Flatbush Zombies",2023-09-15,260680,54,true,1250741125,2026-05-19T07:38:40Z,"","Glorious Dead Recordings",0.606,0.708,7,-6.188,1,0.56,0.287,0,0.477,0.407,84.615,5
spotify:track:4S7YHmlWwfwArgd8LfSPud,"L$D","AT.LONG.LAST.A$AP","A$AP Rocky",2015-05-26,238314,75,true,1250741125,2026-05-19T07:38:40Z,"rap","A$AP Worldwide/Polo Grounds Music/RCA Records",0.598,0.252,2,-15.086,1,0.0644,0.194,0.133,0.0992,0.0352,120.064,4
spotify:track:3n69hLUdIsSa1WlRmjMZlW,"Breezeblocks","An Awesome Wave","alt-J",2012-09-18,227080,74,false,1250741125,2026-05-19T07:38:40Z,"indie,indie rock","Canvasback/ATL",0.615,0.658,5,-7.299,1,0.0343,0.096,0.000911,0.205,0.293,150.093,4
spotify:track:0JX23XA8E7aN1Chj32kgVn,"Spitting Off the Edge of the World","Cool It Down","Yeah Yeah Yeahs;Perfume Genius",2022-09-30,257746,73,false,1250741125,2026-05-19T07:38:40Z,"indie rock,art pop","Secretly Canadian",0.413,0.722,2,-5.875,1,0.036,0.00342,0.00000313,0.0626,0.0803,109.948,4
spotify:track:3jgGvWC8icBVtEj0ZzCvBf,"Daniel","Two Suns","Bat For Lashes",2009-01-12,251120,53,false,1250741125,2026-05-19T07:38:40Z,"art pop,dream pop","Echo",0.593,0.658,8,-8.393,0,0.0364,0.0118,0.0204,0.137,0.421,135.051,4
spotify:track:4rCKRVJZKVysScn2piDuOT,"Something For Your M.I.N.D.","Superorganism","Superorganism",2018-03-02,165391,60,false,1250741125,2026-05-19T07:38:40Z,"art pop","Domino Recording Co",0.698,0.542,2,-4.317,1,0.131,0.132,0.00117,0.199,0.664,140.096,4
spotify:track:1SN1gifVAKecU85lZggS8k,"No Reptiles","Get To Heaven (Deluxe)","Everything Everything",2015-06-22,282853,48,false,1250741125,2026-05-19T07:38:40Z,"","RCA Records Label",0.631,0.515,5,-9.038,1,0.0245,0.0339,0.00124,0.116,0.381,154.935,4
spotify:track:4prEPl61C8qZpeo3IkYSMl,"Sleepyhead","Manners","Passion Pit",2009,174760,78,false,1250741125,2026-05-19T07:38:40Z,"indie","Columbia",0.568,0.719,8,-5.406,1,0.0354,0.0892,0.00000184,0.233,0.539,106.036,4
spotify:track:1eyzqe2QqGZUmfcPZtrIyt,"Midnight City","Hurry Up, We're Dreaming","M83",2011,241440,75,false,1250741125,2026-05-19T07:38:40Z,"","Mute",0.526,0.712,11,-6.525,0,0.0356,0.0161,0,0.179,0.32,105.009,4
spotify:track:5aJmSzmuhLI6fr1Rm0EnkS,"fineshrine","shrines","Purity Ring",2012-07-23,209760,56,false,1250741125,2026-05-19T07:38:40Z,"witch house,chillstep,indie electronic","4AD",0.609,0.797,5,-4.45,0,0.0404,0.0182,0.00000868,0.434,0.4,130.053,4
spotify:track:3cjvqsvvU80g7WJPMVh8iq,"Genesis","Visions","Grimes",2012-02-21,255320,73,false,1250741125,2026-05-19T07:38:40Z,"art pop","4AD",0.611,0.677,10,-6.745,0,0.034,0.0764,0.0698,0.241,0.233,166.04,4
spotify:track:20yjYf63OEjxSw9kww01wB,"Young Blood","Passive Me, Aggressive You","The Naked And Famous",2011-01-01,246600,70,true,1250741125,2026-05-19T07:38:40Z,"","Somewhat Damaged",0.584,0.87,6,-4.656,1,0.0319,0.0000635,0.000103,0.652,0.392,104.981,4
spotify:track:6RtzmszGXs32TRhv5zTKNM,"Same Ol’ Mistakes","ANTI (Deluxe)","Rihanna",2016-01-28,397093,69,false,1250741125,2026-05-19T07:38:40Z,"","Roc Nation / Rihanna",0.441,0.802,8,-5.417,1,0.0443,0.199,0.00287,0.0591,0.51,151.766,4
spotify:track:27mT3JdR3sRJyiMBFHdhB4,"Waiting Game","Goddess (Deluxe)","BANKS",2014-01-01,207718,56,false,1250741125,2026-05-19T07:38:40Z,"","Banks",0.334,0.397,5,-10.313,0,0.0328,0.658,0.00014,0.136,0.225,129.127,4
spotify:track:5h0M2GbBfvOj8GdG7sIDQT,"Human","Ison","Sevdaliza",2017-04-26,192042,53,false,1250741125,2026-05-19T07:38:40Z,"","Twisted Elegance",0.54,0.168,10,-11.773,1,0.0664,0.25,0.0281,0.258,0.163,97.793,4
spotify:track:1KcxkWlRSDNchLovHnHBKP,"Figure 8","M3LL155X","FKA twigs",2015-08-14,183040,42,true,1250741125,2026-05-19T07:38:40Z,"art pop,alternative r&b","Young",0.688,0.71,2,-9.793,1,0.343,0.528,0.00136,0.0697,0.414,119.961,4
spotify:track:3LGsgpx4TfxhXbr07OFKqs,"Oblivion","Visions","Grimes",2012-02-21,251266,73,false,1250741125,2026-05-19T07:38:40Z,"art pop","4AD",0.697,0.529,2,-8.838,1,0.0338,0.115,0.896,0.0895,0.486,155.974,4
spotify:track:4bQ7mjty0UVlKRalhizpGT,"Vanished","Crystal Castles","Crystal Castles",2008-03-18,242960,80,false,1250741125,2026-05-19T07:38:40Z,"witch house,electroclash,new rave,alternative dance","Last Gang",0.713,0.868,0,-6.644,0,0.0305,0.00206,0.0000926,0.225,0.641,119.98,4
spotify:track:4sRmzVSedvFkENbSJ342Ex,"Cherry","Cherry (Deluxe)","Chromatics",2017-12-09,271952,61,false,1250741125,2026-05-19T07:38:40Z,"dream pop","Italians Do It Better",0.655,0.782,7,-6.388,0,0.0355,0.0336,0.228,0.175,0.812,108.245,4
spotify:track:0LtOwyZoSNZKJWHqjzADpW,"Feels Like We Only Go Backwards","Lonerism","Tame Impala",2012-01-01,192960,80,false,1250741125,2026-05-19T07:38:40Z,"neo-psychedelic,indie","Modular",0.303,0.9,2,-2.352,0,0.0574,0.0277,0.635,0.11,0.491,149.508,4
spotify:track:6nzXkCBOhb2mxctNihOqbb,"Bad Girls","Matangi","M.I.A.",2013-01-01,227520,76,false,1250741125,2026-05-19T07:38:40Z,"","Interscope",0.639,0.912,1,-2.621,1,0.0615,0.00107,0,0.097,0.343,143.448,4
spotify:track:5cjaDxaXyRlxGgGjRlte7m,"Daydream In Blue","Neveroddoreven","I Monster",2005-01-27,223666,67,false,1250741125,2026-05-19T07:38:40Z,"","Instant Karma",0.547,0.508,5,-6.301,0,0.0273,0.0151,0.00116,0.116,0.382,153.822,4
spotify:track:1o22EcqsCANhwYdaNOSdwS,"Tessellate","An Awesome Wave","alt-J",2012-09-18,181400,64,false,1250741125,2026-05-19T07:38:40Z,"indie,indie rock","Canvasback/ATL",0.702,0.607,2,-6.509,1,0.0405,0.364,0.0271,0.123,0.436,116.969,4
spotify:track:6BVBkKpZK09NmifUMZqj1z,"Every Other Freckle","This Is All Yours","alt-J",2014-09-22,216004,60,false,1250741125,2026-05-19T07:38:40Z,"indie,indie rock","Canvasback/ATL",0.543,0.707,2,-7.636,1,0.07,0.614,0.0414,0.118,0.515,143.915,4
spotify:track:2mkv1b3dRFyiJ4Ybq31owf,"Hunger of the Pine","This Is All Yours","alt-J",2014-09-22,299710,53,false,1250741125,2026-05-19T07:38:40Z,"indie,indie rock","Canvasback/ATL",0.6,0.413,7,-9.572,1,0.0258,0.785,0.0289,0.109,0.0741,93.618,4
spotify:track:2H6NbSsccvcT1j4jwAjDmf,"Pusher","This Is All Yours","alt-J",2014-09-22,209270,37,false,1250741125,2026-05-19T07:38:40Z,"indie,indie rock","Canvasback/ATL",0.619,0.0488,2,-18.962,1,0.061,0.949,0.000523,0.131,0.101,114.685,4
spotify:track:7H0ya83CMmgFcOhw0UB6ow,"Space Song","Depression Cherry","Beach House",2015-08-28,320466,79,false,1250741125,2026-05-19T07:38:40Z,"dream pop","Sub Pop Records",0.508,0.792,0,-7.311,0,0.0297,0.229,0.124,0.145,0.601,147.067,4
spotify:track:1otG6j1WHNvl9WgXLWkHTo,"After The Storm (feat. Tyler, The Creator & Bootsy Collins)","Isolation","Kali Uchis;Tyler, The Creator;Bootsy Collins",2018-04-06,207454,82,false,1250741125,2026-05-19T07:38:40Z,"funk","EMI",0.702,0.659,4,-6.766,0,0.13,0.301,0.00201,0.218,0.843,79.64,4
spotify:track:2usrT8QIbIk9y0NEtQwS4j,"Intro","xx","The xx",2009-08-16,127920,79,false,1250741125,2026-05-19T07:38:40Z,"","Young",0.617,0.778,9,-8.872,0,0.027,0.459,0.925,0.128,0.152,100.363,4
spotify:track:7eqoqGkKwgOaWNNHx90uEZ,"Nights","Blonde","Frank Ocean",2016-08-20,307151,88,true,1250741125,2026-05-19T07:38:40Z,"","Boys Don't Cry",0.457,0.551,5,-9.36,0,0.167,0.427,0.00000115,0.113,0.428,89.87,4
spotify:track:2NfxtzCIrpCmJX5Z2KMdD5,"Myth","Bloom","Beach House",2012-05-15,258653,67,false,1250741125,2026-05-19T07:38:40Z,"dream pop","Sub Pop Records",0.445,0.708,3,-6.268,1,0.0293,0.032,0.0908,0.171,0.414,141.965,4
spotify:track:0sQNqu37YQQSI3K0ueswyA,"A Walk","Dive","Tycho",2011-10-04,316919,57,false,1250741125,2026-05-19T07:38:40Z,"chillwave,downtempo,idm","Ghostly International",0.659,0.717,9,-7.816,1,0.0318,0.331,0.911,0.127,0.384,139.952,4
spotify:track:5Y6nVaayzitvsD5F7nr3DV,"West Coast","Ultraviolence (Deluxe)","Lana Del Rey",2014-01-01,256760,85,false,1250741125,2026-05-19T07:38:40Z,"","Polydor Records",0.527,0.591,6,-7.664,0,0.0396,0.194,0.0194,0.0907,0.461,123.167,4
spotify:track:3vQ4T78TTMOjQXGfXVKQJo,"Redbone","""Awaken, My Love!""","Childish Gambino",2016-12-02,326933,85,true,1250741125,2026-05-19T07:38:40Z,"","Glassnote - VMG",0.741,0.354,1,-10.603,1,0.0837,0.181,0.00577,0.118,0.583,160.037,4
spotify:track:35KiiILklye1JRRctaLUb4,"Holocene","Bon Iver, Bon Iver","Bon Iver",2011-06-21,336613,72,true,1250741125,2026-05-19T07:38:40Z,"","Jagjaguwar",0.374,0.304,1,-14.52,1,0.0302,0.943,0.298,0.126,0.147,147.969,4
spotify:track:2IqjKEBiz0CdLKdkXhxw84,"Retrograde","Overgrown","James Blake",2013-04-08,223600,64,false,1250741125,2026-05-19T07:48:14Z,"","Polydor Records",0.533,0.251,7,-11.283,0,0.0372,0.873,0.104,0.134,0.186,77.503,4
spotify:track:3Y4rUyw7XBCK6hGHCOt6rp,"Call It Fate, Call It Karma","Comedown Machine","The Strokes",2013-03-25,204773,74,false,1250741125,2026-05-19T07:48:26Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.544,0.241,4,-14.779,0,0.03,0.983,0.774,0.101,0.359,109.437,4
spotify:track:6Kkt27YmFyIFrcX3QXFi2o,"Liability","Melodrama","Lorde",2017-06-16,171727,70,false,1250741125,2026-05-19T07:48:34Z,"","Universal Music New Zealand Limited",0.587,0.229,10,-11.254,0,0.128,0.92,0,0.1,0.379,75.67,4
spotify:track:1BViPjTT585XAhkUUrkts0,"Seigfried","Blonde","Frank Ocean",2016-08-20,334570,76,false,1250741125,2026-05-19T07:48:40Z,"","Boys Don't Cry",0.377,0.253,4,-11.155,0,0.0387,0.975,0.000259,0.101,0.367,125.403,3
spotify:track:3zsRP8rH1kaIAo9fmiP4El,"Angels","Coexist","The xx",2012-09-10,171653,65,false,1250741125,2026-05-19T07:48:46Z,"","Young",0.424,0.157,9,-18.141,1,0.0428,0.95,0.0593,0.101,0.342,91.537,4
spotify:track:1DWZUa5Mzf2BwzpHtgbHPY,"Good News","Circles","Mac Miller",2020-01-17,342040,71,false,1250741125,2026-05-19T07:48:53Z,"","Warner Records",0.794,0.32,1,-12.92,0,0.173,0.853,0.134,0.112,0.241,174.088,4
spotify:track:15WbjBy1bzH1UsUldBwwlW,"Blood Bank","Blood Bank","Bon Iver",2009-01-20,285160,61,false,1250741125,2026-05-19T07:49:00Z,"","Jagjaguwar",0.493,0.372,7,-11.889,1,0.0331,0.964,0.0308,0.117,0.25,116.86,4
spotify:track:3JsA2sWDNR9oQogGAzqqtH,"Open","Woman","Rhye",2013-01-01,217053,64,false,1250741125,2026-05-19T07:49:07Z,"","Polydor Records",0.551,0.324,0,-10.962,1,0.0314,0.896,0.0873,0.277,0.231,90.957,4
spotify:track:7x8pIrhMu9FCmqqHNyuH0P,"cellophane","MAGDALENE","FKA twigs",2019-11-08,204066,59,false,1250741125,2026-05-19T07:49:16Z,"art pop,alternative r&b","Young",0.431,0.284,2,-11.858,1,0.0432,0.871,0.000136,0.0899,0.229,98.317,1
spotify:track:0ah6qyhi2jlBP6D7JLxZrt,"Plastic 100°C","Process","Sampha",2017-02-03,316187,48,false,1250741125,2026-05-19T07:49:23Z,"indie soul","Young",0.591,0.361,3,-11.879,0,0.0539,0.735,0.00227,0.654,0.175,132.08,4
spotify:track:3W7KHojYGgYaoX9ogKO9hU,"Nothing's Gonna Hurt You Baby","I.","Cigarettes After Sex",2012-07-21,286293,84,false,1250741125,2026-05-19T07:49:30Z,"dream pop","Spanish Prayers",0.509,0.331,4,-14.083,1,0.0267,0.272,0.136,0.114,0.0957,96.848,4
